Route,Area_Council,Transport_Type,Morning_Fare,Afternoon_Fare,Evening_Fare,Traffic_Level,Fuel_Price
Nyanya-Wuse,AMAC,Bus,700,850,1000,High,950
Kubwa-CBD,Bwari,Taxi,1500,1700,2000,High,950
Gwarinpa-Wuse,AMAC,Keke,500,600,750,Medium,950
Maitama-CBD,AMAC,Bus,300,400,500,Low,950
Lugbe-Wuse,AMAC,Taxi,1200,1400,1700,High,950
Mararaba-Wuse,AMAC,Bus,800,950,1200,High,950
Jabi-Wuse,AMAC,Keke,400,500,650,Medium,950
Karu-CBD,AMAC,Bus,700,850,1000,High,950
Utako-Maitama,AMAC,Taxi,600,750,900,Medium,950
Garki-Wuse,AMAC,Bus,300,350,450,Low,950
Apo-CBD,AMAC,Taxi,700,850,1000,Medium,950
Lokogoma-Wuse,AMAC,Bus,900,1100,1300,High,950
Dawaki-Maitama,Bwari,Keke,500,650,800,Medium,950
DeiDei-Wuse,Bwari,Bus,1000,1200,1500,High,950
Zuba-CBD,Gwagwalada,Taxi,1800,2000,2500,High,950
Gwagwalada-CBD,Gwagwalada,Bus,1500,1700,2200,High,950
Kuje-CBD,Kuje,Bus,1200,1400,1800,Medium,950
Kwali-CBD,Kwali,Bus,1500,1700,2100,Medium,950
Abaji-CBD,Abaji,Taxi,2500,2800,3500,High,950
Jahi-Wuse,AMAC,Keke,350,450,600,Low,950
